word,count
limited,1
stores,2
company.,4
caused,1
over,1
"competitors,",1
diminishing,1
focus,1
valuable,1
US$700,1
iTunes,3
bring,1
Wayne,1
498,1
innovative,1
portfolio,1
Gil,1
its,7
staff,1
one,1
Apple's,6
Jobs,5
tablet,1
"died,",1
personal,3
"designs,",1
Watch,1
HomePod,1
including,1
labor,1
Ronald,1
to,11
production,1
those,1
annual,1
"years,",2
"2007,",1
include,2
health,1
smart,1
happened,1
executive,1
July,1
Jobs',1
his,1
returned,1
"practices,",1
"Jobs,",1
materials.,1
digital,1
iOS,2
first,1
year.,1
valued,1
"2016,",1
iPhone,1
they,1
own,2
"However,",2
designers,1
worldwide,1
him,1
founded,1
regarding,1
Samsung.,1
success,1
"interfaces,",1
did,1
"problems,",1
Over,1
Within,1
companies,1
"titles,",1
system.,1
"electronics,",1
$215,1
iWork,1
employees,1
went,1
"software,",1
"2011,",1
financial,2
portable,1
regained,1
some,1
February,1
operates,1
computer,2
are,1
changed,1
resigned,2
lower-priced,1
More,1
macOS,1
actively,1
business,1
iLife,1
renamed,1
CEO,1
2017.,1
saw,4
opening,1
months,1
"player,",3
critical,2
"computer,",2
market,1
Safari,1
between,1
Cook,1
new,2
electronics,1
numerous,1
public,1
announced,2
era,1
multinational,1
be,2
particular,1
power,1
web,1
marketing,1
U.S.,1
maintains,1
job,1
ranked,1
operating,2
by,2
manufacturer,1
received,1
full-time,1
"116,000",1
instant,1
would,1
contractors,1
created,1
of,13
App,2
"smartwatch,",1
second-largest,1
"1977,",1
enjoys,1
Steve,2
shipped,1
became,2
products,5
incorporated,1
then-CEO,1
retail,2
create,1
software,4
criticism,1
iPad,1
computers.,2
"develops,",1
revenue,3
had,2
22,1
Two,1
world's,4
shuffles,1
acclaim,1
CEO.,1
origins,1
next,1
Store,1
has,1
use,1
from,2
August,1
1980,1
source,1
rebuild,1
creativity,1
due,2
been,1
"Cupertino,",1
few,2
"systems,",1
California,1
"complications,",1
music,1
featuring,1
countries,1
"smartphone,",1
until,1
more,1
shifted,1
acquisitions,1
graphical,1
buy,1
success.,2
that,2
January,3
company,6
billion,2
October,1
it,1
phone,1
American,1
billion.,1
repeatedly,1
services.,1
"Music,",1
level,1
with,1
than,1
Inc.,4
"later,",1
high,2
"Store,",3
decided,1
largest,2
1997,1
was,2
"status,",1
"iPhone,",1
receives,1
"browser,",1
mobile,1
growth,1
momentum,1
"CEO,",1
making,1
company's,1
toward,1
iPod,1
most,1
and,28
retailer.,1
computers,4
brand.,1
suites.,1
process,1
is,3
"2001,",1
sales,2
an,2
hardware,2
Tim,1
as,7
tag,1
"Computer,",2
at,3
employs,1
in,10
sells,1
technology,3
"2015,",1
totaled,1
sell,1
again,1
marking,1
productivity,1
Amelio,1
TV,1
media,3
commercials,1
brand,1
struggles,1
for,5
end,1
line.,1
Mac,2
which,3
online,2
widespread,1
offered,1
worldwide.,1
profitability.,1
2016,2
"increased,",1
used,1
titles,1
fiscal,1
information,1
Windows,1
"Wozniak,",1
price,1
after,1
headquartered,1
loyalty,1
includes,1
reflect,1
April,1
hired,1
user,1
significant,3
position,1
services,1
develop,1
The,3
began,1
a,6
Microsoft,1
Apple,15
environmental,1
acclaim.,1
1976,1
It,3
back.,1
As,2
practices,1
In,3
iCloud.,1
the,33
executives,1
consumer,3
Its,1
included,1
speaker.,1
