product name,price
"Samsung 55"" FHD Smart TV M5500 Series 5 UA55M5500AKXXS","1,099.00"
"Samsung 49"" Full HD Flat Smart TV J5200 Series 5 UA49J5200AKXXS",758.99
Philips 55PFT5200/98 Full HD LED TV  [3 years local warranty],809.00
PHILIPS NEW 2017 MODEL DIGITAL SLIM LED TV 32PHT4002/98 DVB-T/T2 (4000 SERIES),198.00
Sharp Full HD LED TV LC-50LE275X,599.99
Samsung UA55MU6300 55'' UHD Curved Smart LED TV,"1,685.75"
"Samsung UA40J5200 40"" Smart DVB (Digital) LED TV.Safety Mark Approved.(Black). Free HDMI Cable",489.00
Philips 32PHA3052/98 Slim LED TV,199.00
"Sony KDL-32W610E 32"" LED Internet Smart TV",409.00
"Sharp 40"" Full HD LED TV (Black) LC40LE265M",398.00
Philips 43PFT4002/98 4000 series Full HD Ultra Slim LED TV DVB-T/T2,397.00
Samsung 40inch Smart FHD LED TV UA40J5200,498.90
Philips 5100 series Ultra Slim Smart LED TV 32PHT5102/98,288.00
"Akira 55"" 4K Ultra HD LED TV 55LED58UHD",699.00
"Samsung 32"" UA32J4003 LED TV DVB-T2 Ready",278.85
"LG C7 OLED 4K HDR Smart TV - 55"" Class (55.0"" Diag) OLED55C7T","3,585.00"
"Akira 24"" Digital LED Full HD TV 24LED45T2 (Black)",198.00
"SAMSUNG 43"" MU7000 SERIES 7 UHD 4K FLAT SMART LED  TV (43MU7000)",898.00
"Akira 32"" Digital HD LED TV 32LED55T2",249.00
LG 65 inch UHD 4K Smart TV 65UJ632T,"2,398.00"
"Samsung 43"" MU6100 Series UHD 4K Smart TV Digital TV UA43MU6100AKXXS",879.00
"SAMSUNG UA-49KU6300 49"" CURVED UHD 4K SMART LED TV",998.98
"Akira 24LED42FHD 24"" LED Full HD TV W/USB Port",169.00
Philips 4K Ultra HD TV  43PUT5801 USB Speaker With USB Recording,718.98
HITACHI LD42SY01A 107CM (42INCHES) LED TV,406.50
"Samsung UA65KU6000KXXS 65 inch UHD 4K Flat Smart TV KU6000 Series
6(Black)","2,068.00"
"Samsung 49"" MU6100 Series UHD 4K Smart TV Digital TV UA49MU6100KXXS","1,199.00"
"LG 32"" Smart HD LED LCD TV Black 32LH570D",378.00
"Samsung UA32J4003AKXXS 32"" HD Flat TV J4003 Series 4",299.00
"SAMSUNG 50"" MU7000 SERIES 7 UHD 4K FLAT TV (50MU7000)","1,188.00"
"Philips 49"" Full HD Smart Slim LED TV 49PFT6100/98",687.99
Sony 55- inches 4K HDR SMART Android TV KD-55X7000D,"1,688.00"
LG 43UJ632T ULTRA HD SMART LED TV,898.00
"SAMSUNG UA-55KU6500 55"" CURVED UHD 4K SMART LED TV","1,519.00"
"SONY 32"" R300C Bravia DVBT2 FLL HD TV Black KDL-32R300C",385.00
LG 43inch UHD 4K SMART TV 43UH610T,780.12
LG 65 Inch 4K UHD Smart LED TV - 65UH603V,"1,998.80"
"LG 49"" UHD 4K SMART TV 49UJ632T","1,275.00"
"TOSHIBA 32"" HV10 SERIES MULTI-SYSTEM LCD TV 32HV10 (BLACK) (EXPORT)",210.00
Sharp LC-50UA440X 50 Inch 4K UHD LED TV,898.00
Sony XBR65X930D 65-Inch 4K Ultra HD 3D Smart TV,"3,199.00"
"Akira 40"" Curve T2 Digital LED TV 40CLED46T2",439.00
Samsung 43-inch FULL HD Smart TV UA43K5500,668.98
Sony XBR65X900C 65-Inch 4K Ultra HD 3D Smart LED TV,"2,399.00"
"Samsung UA-55H6400 55"" Smart Full HD Multi-System 3D LED TV (Black)","1,198.98"
"Philips 55"" FHD SMART LED TV 55PFT6100***(DVB-T/T2 for
HD5,HD8..etc)",899.00
"Skyworth 32E3000 32"" Inches LED TV",238.88
Philips 55 Inch DVBT2 FULL HD Smart LED TV Black 55PFT6100,899.00
"Samsung 49"" SUHD 4K Flat Smart TV UA49KS7000K (BLACK)","2,115.00"
AOC LE55U7970/89 4K LED SMART ULTRA HD 55 inch TV (3 Year Warranty),799.00
LG 55'' SMART 3D OLED ULTRA CURVED TV Black 55EG910T,"2,738.00"
Samsung UHD SMART 50inch TV UA50KU6000,"1,088.79"
LG 55 inch. OLED 4K Smart TV OLED55C7T,"4,247.00"
"Samsung 65"" Q7F 4K Smart QLED TV QA65Q7FAMKXXS","4,581.98"
Samsung 100 cm (40 inches) UA-40K5000 Full HD LED TV,449.98
"Sony 55inch BRAVIA FULL HD 3D / SMART / ANDROID LED Backlight TV
KDL- 55W800C","1,799.00"
"Philips 49"" Full HD Slim TV 49PFA4300 - IDA APPROVED SAFETY MARK",599.00
LG 32LH500 32 Inch HD LED TV,299.99
LG OLED65B6T OLED HDR with Dolby Vision TV 65 inch.,"5,258.00"
Samsung 32 inch. HD Smart TV UA32J4303AKXXS,399.00
AOC LE50U7970/89 4K ULTRA HD LED SMART TV (3 YEAR WARRANTY),699.00
"LG 55EC930T 55"" CINEMA 3D SMART CURVED OLED TV","2,499.00"
"Samsung 32"" HD Flat Smart TV J4303 Series 4 UA32J4303DKXXS",399.00
"Samsung 55"" Q7F 4K Smart QLED TV QA55Q7FAMKXXS","3,208.80"
Philips 43inch FHD DIGITAL TV 43PFT5250/98,479.00
"Skyworth 32"" HD DVBT2 LED TV 32E2000",259.00
"SONY KDL-32W610E 32""HD READY SMART LED TV",455.00
Sony 49 Inch SMART Internet FULL HD LED DVBT2 TV KDL49W750D,868.00
LG 55inch UHD 4K Smart TV 55UH650T,"2,699.00"
